t,comparisons,pq,pc,f1_star,f1
0.05,0.5947143737347065,0.0005317752889397925,0.9803634956632022,0.0010629738546739432,0.002281405878189764
0.1,0.38454831865820455,0.0007675808574410946,0.9239904988123515,0.0015338874781154874,0.00329593267882188
0.15,0.38454831865820455,0.0007675808574410946,0.9239904988123515,0.0015338874781154874,0.00329593267882188
0.2,0.38454831865820455,0.0007675808574410946,0.9239904988123515,0.0015338874781154874,0.00329593267882188
0.25,0.08520528486746856,0.0028319529788939355,0.7553444180522565,0.005642750042143181,0.008400152730049638
0.3,0.08520528486746856,0.0028319529788939355,0.7553444180522565,0.005642750042143181,0.008400152730049638
0.35,0.02808761977606391,0.005376053598443916,0.47268408551068886,0.010631193738814543,0.006204379562043796
0.4,0.011246126342690815,0.009041225288442076,0.3182897862232779,0.01758299435769584,0.01055099648300117
0.45,0.011246126342690815,0.009041225288442076,0.3182897862232779,0.01758299435769584,0.01055099648300117
0.5,0.011246126342690815,0.009041225288442076,0.3182897862232779,0.01758299435769584,0.01055099648300117
0.55,0.0025275519092843334,0.019213449414590213,0.15201900237529692,0.03411513859275053,0.015030060120240482
0.6,0.0025275519092843334,0.019213449414590213,0.15201900237529692,0.03411513859275053,0.015030060120240482
0.65,0.00186512236356076,0.019934906427990236,0.11638954869358668,0.03403959708232025,0.011808910359634998
0.7,0.0011935872570712268,0.02670057215511761,0.0997624703087886,0.04212637913741223,0.01431359791802212
0.75,0.0008544051185392252,0.037300177619893425,0.0997624703087886,0.054298642533936646,0.01596516690856313
0.8,0.000704163365900889,0.015086206896551723,0.0332541567695962,0.020756115641215715,0.016923076923076923
0.85,0.0006472536111136405,0.01992966002344666,0.040380047505938245,0.026687598116169546,0.01741884402216944
0.9,0.000639665643808674,0.01542111506524318,0.030878859857482184,0.02056962025316456,0.01751592356687898
0.95,0.0006328364732342041,0.011990407673860911,0.023752969121140142,0.01593625498007968,0.016090104585679808
